audioLanguageSlug,coreLanguageId,poolKey,themeUnique,sharedWithStart,additionalBeyondStart,unionWithStart
amdo-tibetan,23089,hope-and-perseverance,16,16,0,35
amdo-tibetan,23089,love-and-belonging,12,12,0,35
amdo-tibetan,23089,forgiveness-and-new-beginnings,7,7,0,35
amdo-tibetan,23089,exploring-jesus,21,21,0,35
american-sign-language,19171,meaning-and-purpose,0,0,0,2
american-sign-language,19171,hope-and-perseverance,1,1,0,2
american-sign-language,19171,love-and-belonging,0,0,0,2
american-sign-language,19171,forgiveness-and-new-beginnings,0,0,0,2
american-sign-language,19171,exploring-jesus,2,2,0,2
amharic,4791,meaning-and-purpose,26,26,0,83
amharic,4791,hope-and-perseverance,34,33,1,84
amharic,4791,love-and-belonging,33,30,3,86
amharic,4791,forgiveness-and-new-beginnings,19,18,1,84
amharic,4791,exploring-jesus,52,52,0,83
amuzgo-guerrero,8351,meaning-and-purpose,18,18,0,35
amuzgo-guerrero,8351,hope-and-perseverance,16,16,0,35
amuzgo-guerrero,8351,love-and-belonging,12,12,0,35
amuzgo-guerrero,8351,forgiveness-and-new-beginnings,7,7,0,35
amuzgo-guerrero,8351,exploring-jesus,21,21,0,35
amuzgo-oaxaca,8338,meaning-and-purpose,18,18,0,35
amuzgo-oaxaca,8338,hope-and-perseverance,16,16,0,35
amuzgo-oaxaca,8338,love-and-belonging,12,12,0,35
amuzgo-oaxaca,8338,forgiveness-and-new-beginnings,7,7,0,35
amuzgo-oaxaca,8338,exploring-jesus,21,21,0,35
anaang,9317,meaning-and-purpose,18,18,0,35
anaang,9317,hope-and-perseverance,16,16,0,35
anaang,9317,love-and-belonging,12,12,0,35
anaang,9317,forgiveness-and-new-beginnings,7,7,0,35
anaang,9317,exploring-jesus,21,21,0,35
andaandi,140196,meaning-and-purpose,18,18,0,35
andaandi,140196,hope-and-perseverance,16,16,0,35
andaandi,140196,love-and-belonging,12,12,0,35
andaandi,140196,forgiveness-and-new-beginnings,7,7,0,35
andaandi,140196,exploring-jesus,21,21,0,35
andio,140162,meaning-and-purpose,18,18,0,35
andio,140162,hope-and-perseverance,16,16,0,35
andio,140162,love-and-belonging,12,12,0,35
andio,140162,forgiveness-and-new-beginnings,7,7,0,35
andio,140162,exploring-jesus,21,21,0,35
angaataha,139319,meaning-and-purpose,18,18,0,35
angaataha,139319,hope-and-perseverance,16,16,0,35
angaataha,139319,love-and-belonging,12,12,0,35
angaataha,139319,forgiveness-and-new-beginnings,7,7,0,35
angaataha,139319,exploring-jesus,21,21,0,35
angal-heneng,139376,meaning-and-purpose,18,18,0,35
angal-heneng,139376,hope-and-perseverance,16,16,0,35
angal-heneng,139376,love-and-belonging,12,12,0,35
angal-heneng,139376,forgiveness-and-new-beginnings,7,7,0,35
angal-heneng,139376,exploring-jesus,21,21,0,35
angika,23330,meaning-and-purpose,18,18,0,35
angika,23330,hope-and-perseverance,16,16,0,35
angika,23330,love-and-belonging,12,12,0,35
angika,23330,forgiveness-and-new-beginnings,7,7,0,35
angika,23330,exploring-jesus,21,21,0,35
anjam,10810,meaning-and-purpose,18,18,0,35
anjam,10810,hope-and-perseverance,16,16,0,35
anjam,10810,love-and-belonging,12,12,0,35
anjam,10810,forgiveness-and-new-beginnings,7,7,0,35
anjam,10810,exploring-jesus,21,21,0,35
ansus,139429,meaning-and-purpose,18,18,0,35
ansus,139429,hope-and-perseverance,16,16,0,35
ansus,139429,love-and-belonging,12,12,0,35
ansus,139429,forgiveness-and-new-beginnings,7,7,0,35
ansus,139429,exploring-jesus,21,21,0,35
antandroy,23192,meaning-and-purpose,18,18,0,35
antandroy,23192,hope-and-perseverance,16,16,0,35
antandroy,23192,love-and-belonging,12,12,0,35
antandroy,23192,forgiveness-and-new-beginnings,7,7,0,35
antandroy,23192,exploring-jesus,21,21,0,35
antesaka,139153,meaning-and-purpose,0,0,0,0
antesaka,139153,hope-and-perseverance,0,0,0,0
antesaka,139153,love-and-belonging,0,0,0,0
antesaka,139153,forgiveness-and-new-beginnings,0,0,0,0
antesaka,139153,exploring-jesus,0,0,0,0
anuak,4790,meaning-and-purpose,18,18,0,35
anuak,4790,hope-and-perseverance,16,16,0,35
anuak,4790,love-and-belonging,12,12,0,35
anuak,4790,forgiveness-and-new-beginnings,7,7,0,35
anuak,4790,exploring-jesus,21,21,0,35
anufo,1345,meaning-and-purpose,18,18,0,39
anufo,1345,hope-and-perseverance,17,17,0,39
anufo,1345,love-and-belonging,14,14,0,39
anufo,1345,forgiveness-and-new-beginnings,10,10,0,39
anufo,1345,exploring-jesus,23,23,0,39
anyin,5333,meaning-and-purpose,18,18,0,35
anyin,5333,hope-and-perseverance,16,16,0,35
anyin,5333,love-and-belonging,12,12,0,35
anyin,5333,forgiveness-and-new-beginnings,7,7,0,35
anyin,5333,exploring-jesus,21,21,0,35
ao,176313,meaning-and-purpose,18,18,0,35
ao,176313,hope-and-perseverance,16,16,0,35
ao,176313,love-and-belonging,12,12,0,35
ao,176313,forgiveness-and-new-beginnings,7,7,0,35
ao,176313,exploring-jesus,21,21,0,35
aokha,142264,meaning-and-purpose,18,18,0,35
aokha,142264,hope-and-perseverance,16,16,0,35
aokha,142264,love-and-belonging,12,12,0,35
aokha,142264,forgiveness-and-new-beginnings,7,7,0,35
aokha,142264,exploring-jesus,21,21,0,35
apalai,139476,meaning-and-purpose,18,18,0,35
apalai,139476,hope-and-perseverance,16,16,0,35
apalai,139476,love-and-belonging,12,12,0,35
apalai,139476,forgiveness-and-new-beginnings,7,7,0,35
apalai,139476,exploring-jesus,21,21,0,35
apinaye,1890,meaning-and-purpose,18,18,0,35
apinaye,1890,hope-and-perseverance,16,16,0,35
apinaye,1890,love-and-belonging,12,12,0,35
apinaye,1890,forgiveness-and-new-beginnings,7,7,0,35
apinaye,1890,exploring-jesus,21,21,0,35
apurina,1889,meaning-and-purpose,18,18,0,35
apurina,1889,hope-and-perseverance,16,16,0,35
apurina,1889,love-and-belonging,12,12,0,35
apurina,1889,forgiveness-and-new-beginnings,7,7,0,35
apurina,1889,exploring-jesus,21,21,0,35
arabic-algerian-spoken,525,meaning-and-purpose,24,24,0,69
arabic-algerian-spoken,525,hope-and-perseverance,29,28,1,70
arabic-algerian-spoken,525,love-and-belonging,28,26,2,71
arabic-algerian-spoken,525,forgiveness-and-new-beginnings,16,15,1,70
arabic-algerian-spoken,525,exploring-jesus,43,43,0,69
arabic-bedouin,184531,meaning-and-purpose,18,18,0,35
arabic-bedouin,184531,hope-and-perseverance,16,16,0,35
arabic-bedouin,184531,love-and-belonging,12,12,0,35
arabic-bedouin,184531,forgiveness-and-new-beginnings,7,7,0,35
arabic-bedouin,184531,exploring-jesus,21,21,0,35
arabic-chadian-spoken,20531,meaning-and-purpose,19,19,0,47
arabic-chadian-spoken,20531,hope-and-perseverance,19,18,1,48
arabic-chadian-spoken,20531,love-and-belonging,20,19,1,48
arabic-chadian-spoken,20531,forgiveness-and-new-beginnings,13,13,0,47
arabic-chadian-spoken,20531,exploring-jesus,26,26,0,47
arabic-egyptian-colloquial,20533,meaning-and-purpose,26,26,0,84
arabic-egyptian-colloquial,20533,hope-and-perseverance,34,33,1,85
arabic-egyptian-colloquial,20533,love-and-belonging,34,32,2,86
arabic-egyptian-colloquial,20533,forgiveness-and-new-beginnings,19,18,1,85
arabic-egyptian-colloquial,20533,exploring-jesus,53,53,0,84
arabic-gulf,139181,meaning-and-purpose,23,23,0,57
arabic-gulf,139181,hope-and-perseverance,26,26,0,57
arabic-gulf,139181,love-and-belonging,20,19,1,58
arabic-gulf,139181,forgiveness-and-new-beginnings,10,9,1,58
arabic-gulf,139181,exploring-jesus,38,38,0,57
arabic-hassaniya,7839,meaning-and-purpose,19,19,0,47
arabic-hassaniya,7839,hope-and-perseverance,19,18,1,48
arabic-hassaniya,7839,love-and-belonging,20,19,1,48
arabic-hassaniya,7839,forgiveness-and-new-beginnings,13,13,0,47
arabic-hassaniya,7839,exploring-jesus,26,26,0,47
arabic-hijazi,184592,meaning-and-purpose,18,18,0,36
arabic-hijazi,184592,hope-and-perseverance,16,16,0,36
arabic-hijazi,184592,love-and-belonging,12,12,0,36
arabic-hijazi,184592,forgiveness-and-new-beginnings,7,7,0,36
arabic-hijazi,184592,exploring-jesus,22,22,0,36
arabic-iraqi-baghdadi,21061,meaning-and-purpose,19,19,0,47
arabic-iraqi-baghdadi,21061,hope-and-perseverance,19,18,1,48
arabic-iraqi-baghdadi,21061,love-and-belonging,20,19,1,48
arabic-iraqi-baghdadi,21061,forgiveness-and-new-beginnings,13,13,0,47
arabic-iraqi-baghdadi,21061,exploring-jesus,26,26,0,47
arabic-juba,38242,meaning-and-purpose,18,18,0,35
arabic-juba,38242,hope-and-perseverance,16,16,0,35
arabic-juba,38242,love-and-belonging,12,12,0,35
arabic-juba,38242,forgiveness-and-new-beginnings,7,7,0,35
arabic-juba,38242,exploring-jesus,21,21,0,35
arabic-khuzestani,185355,meaning-and-purpose,18,18,0,35
arabic-khuzestani,185355,hope-and-perseverance,16,16,0,35
arabic-khuzestani,185355,love-and-belonging,12,12,0,35
arabic-khuzestani,185355,forgiveness-and-new-beginnings,7,7,0,35
arabic-khuzestani,185355,exploring-jesus,21,21,0,35
arabic-libyan,184848,meaning-and-purpose,18,18,0,35
arabic-libyan,184848,hope-and-perseverance,16,16,0,35
arabic-libyan,184848,love-and-belonging,12,12,0,35
arabic-libyan,184848,forgiveness-and-new-beginnings,7,7,0,35
arabic-libyan,184848,exploring-jesus,21,21,0,35
arabic-modern-standard,22658,meaning-and-purpose,61,61,0,164
arabic-modern-standard,22658,hope-and-perseverance,64,63,1,165
arabic-modern-standard,22658,love-and-belonging,62,60,2,166
arabic-modern-standard,22658,forgiveness-and-new-beginnings,42,40,2,166
arabic-modern-standard,22658,exploring-jesus,84,84,0,164
arabic-modern-standard-egyptian,53441,meaning-and-purpose,24,24,0,60
arabic-modern-standard-egyptian,53441,hope-and-perseverance,26,26,0,60
arabic-modern-standard-egyptian,53441,love-and-belonging,20,19,1,61
arabic-modern-standard-egyptian,53441,forgiveness-and-new-beginnings,11,10,1,61
arabic-modern-standard-egyptian,53441,exploring-jesus,41,41,0,60
arabic-modern-standard-sharif,184495,meaning-and-purpose,18,18,0,35
arabic-modern-standard-sharif,184495,hope-and-perseverance,16,16,0,35
arabic-modern-standard-sharif,184495,love-and-belonging,12,12,0,35
arabic-modern-standard-sharif,184495,forgiveness-and-new-beginnings,7,7,0,35
arabic-modern-standard-sharif,184495,exploring-jesus,21,21,0,35
arabic-moroccan-spoken,8418,meaning-and-purpose,24,24,0,71
arabic-moroccan-spoken,8418,hope-and-perseverance,30,29,1,72
arabic-moroccan-spoken,8418,love-and-belonging,29,27,2,73
arabic-moroccan-spoken,8418,forgiveness-and-new-beginnings,16,15,1,72
arabic-moroccan-spoken,8418,exploring-jesus,45,45,0,71
arabic-najdi,184591,meaning-and-purpose,1,1,0,6
arabic-najdi,184591,hope-and-perseverance,2,2,0,6
arabic-najdi,184591,love-and-belonging,1,1,0,6
arabic-najdi,184591,forgiveness-and-new-beginnings,2,2,0,6
arabic-najdi,184591,exploring-jesus,5,5,0,6
arabic-north-african,20538,meaning-and-purpose,0,0,0,1
arabic-north-african,20538,hope-and-perseverance,0,0,0,1
arabic-north-african,20538,love-and-belonging,0,0,0,1
arabic-north-african,20538,forgiveness-and-new-beginnings,0,0,0,1
arabic-north-african,20538,exploring-jesus,1,1,0,1
arabic-palestinian,53347,meaning-and-purpose,24,24,0,69
arabic-palestinian,53347,hope-and-perseverance,29,28,1,70
arabic-palestinian,53347,love-and-belonging,28,26,2,71
arabic-palestinian,53347,forgiveness-and-new-beginnings,16,15,1,70
arabic-palestinian,53347,exploring-jesus,43,43,0,69
arabic-saidi-spoken,4532,meaning-and-purpose,23,23,0,57
