languageId,coreLanguageId,audioLanguageSlug,canonicalEnglishName,canonicalNameLocales,legacyEnglishNameMirror,bcp47,iso3,source,deletedAt,syncedAt,rawDubRows,rawVideos,rawLeafVideos,rawCollectionVideos,rawSeriesVideos,rawVideosWithDeclaredSource,publishedVideosWithDeclaredSource,publishedLeafDeclaredSources,publishedLeafHls,publishedLeafMux,publishedLeafHlsOnly,publishedCollectionDeclaredSources,publishedSeriesDeclaredSources,watchUnrestrictedPublishedLeafDeclared,curatedDeclaredLeafReferences,approvedCuratedDeclaredLeafReferences,curatedEditorialChoicesWithDeclaredLeafSource,approvedEditorialChoicesWithDeclaredLeafSource,uncuratedDeclaredLeafVideos,manifest_pass,manifest_failed,currentWebDisplayLocale,priorCurrentRecommendationStartUnique,priorCurrentRecommendationEligibleIdCeiling,rawLeafInventoryMeaning
cmokku32202x3qscc8kxsfeea,23330,angika,Angika,anp|en,Angika,anp,anp,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmok1k4nt008fqsv1e743wlc3,10810,anjam,Anjam,en,Anjam,boj,boj,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmok1mtmj00wfqsv1wi4xte7f,139429,ansus,Ansus,en,Ansus,and,and,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmokktydy02vyqscct0vwshm7,23192,antandroy,Antandroy,en,Antandroy,mg-tdx,tdx,core,,2026-09-03T07:00:06.934937+00:00,79,79,64,15,0,64,64,64,64,64,0,0,0,64,35,34,35,34,29,0,0,mg,0,0,declared metadata; canonical identity and stream health not guaranteed
cmok1mj6q00twqsv1vlfupo4z,139153,antesaka,Antesaka,en,Antesaka,tkg,tkg,core,,2026-09-03T07:00:06.934937+00:00,12,12,2,10,0,2,2,2,2,2,0,0,0,2,0,0,0,0,2,0,0,en,0,2,declared metadata; canonical identity and stream health not guaranteed
cmokkx7w603ouqsccbdlecf9r,4790,anuak,Anuak,anu|en,Anuak,anu,anu,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmok1m02f00p4qsv153c50t9p,1345,anufo,Anufo,en,Anufo,cko,cko,core,,2026-09-03T07:00:06.934937+00:00,82,82,67,14,1,67,67,67,67,67,0,0,0,67,39,38,39,38,28,0,0,en,37,67,declared metadata; canonical identity and stream health not guaranteed
cmokky49o03x2qscccis74pqw,5333,anyin,Anyin,en,Anyin,any,any,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmok1t2r802dfqsv14dndtw6i,176313,ao,Ao,en,Ao,njo,njo,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmok1oun201daqsv1pvguj52m,142264,aokha,Aokha,en,Aokha,ema,ema,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
