id,slug,bcp47
14710,gungu,rub
147285,konta,dwr
14731,nyole,nuj
14749,mangbetu,mdj
147829,gondi-aheri,esg
14783,ukrainian-sign-language,ukl
1479,tswana,tn
14815,welsh,cy
14818,gaelic-scots,gd
148878,enuani,ibo
148910,malkangiri-koya,kff
149174,kalo-5,khz
149217,kope,kiw
149219,gibaio,kiw
149408,guina-ang-kalinga,knb
14970,tanna-north,tnn
149770,tembarissa,ktb
149957,nguna,llp
15013,tanna-southwest,nwi
150352,karunsie,xmz
150415,tairora,tbg
150571,tzutujil-western,tzj
15088,panare,pbh
1510,kalanga,kck
151150,sarlahi-tharu,thq
151261,makoma,sie
15161,arabic-sanaani,ayn
151767,bidayuh-jagoi,sne
151817,shanjo,toi
15210,poke,pof
15213,phende,pem
152162,zayse,zay
15220,omi,omi
15224,nyanga,nyj
152300,mawae,zia
15256,hema,nix
152629,nta,ndd
15269,ngbandi,ngb
15300,mongo-nkundu,lol
15329,mayogo,mdm
153360,western-lipo,lpo
153384,sihanaka-2,plt
153397,taa,pmf
153550,eastern-poqomchi,poh
153551,western-poqomchi,poh
153568,pattae,mqj
153673,bawean,mad
1538,kadiweu,kbc
15383,logo,log
153840,vajjika,mai
15395,lika,lik
154060,pulangiyen,mbb
154090,enrekang,ptt
154395,ikoma,ntk
15471,sengele,szg
15476,suku,sub
15480,songe,sop
154906,tambee,mzq
154958,provencal,oci
1552,jaruara,jaa
155279,omwunra-toqura,omw
15538,zimba,zmb
15548,hungana,hum
15551,hunde,hke
15557,hemba,hem
15559,havu,hav
155934,mupun,sur
15615,lendu,led
15622,lala,leb
15631,lamba,lam
15633,kwese,kws
15639,kituba,ktu
15642,kaonde,kqn
15653,kanyok,kny
156595,qena,alw
1566,hixkaryana,hix
15667,budza,bja
156811,lebanese-syrian-arabic,apc
1569,gaviao-do-jiparana,gvo
157289,ayizo-2,ayb
1573,yanomamo,guu
15739,nkoya,nka
157752,wakatobi,bhq
15796,soli,sby
158085,belleh,blh
1582,guajajara,gub
158608,brezhoneg,br
15865,nambya,nmq
158787,rinconada-bikol,bto
15882,avar,av
158871,bogghom,bux
158935,karina,car
158997,juni-kuin,cbs
159000,shawi-chayahuita,cbt
15903,comorian-shingazidja,zdj
159038,chamba-daka,ccg
15909,abidji,abi
1592,cubeo,cub
159392,chakfem,cky
159546,central-buang,bzh
15990,senoufo-cebaara,sef
159905,zokam-tedim,ctd
1604,matses,mcf
160430,ut-hun,uth
16048,guere-central,gxx
16052,dida-yocoboue,gud
160575,finallig,ebk
16064,guro,goa
16074,ebrie,ebr
1608,maxakali,mbl
16084,senoufo-djimini,dyi
16098,bete-gagnoa,btg
16103,bete-daloa,bev
16106,bete-guiberoua,bet
16107,baule,bci
16111,avikam,avi
16116,adioukrou,adj
16117,abure,abu
16120,biafada,bif
161504,toli-gbe-2,guw
16176,mai-brat,ayz
161859,bel,gdd
16214,nalca,nlc
162168,pontianak-hakka,hak
1624,kayabi,kyz
163136,kolami,kfb
163423,kalanguya,kak
163660,chikunda,kdn
163806,khiamniungan,kix
164090,tado,klw
164216,mangalorean-konkani,knn
164337,khandeshi-bhili,khn
16447,dani-western,dnw
164768,dongissa,ktb
16488,biak,bhw
164996,kilaangi,lag
16618,sunda,su
16628,tengger,tes
16639,indonesian-yesus,id
16640,osing,osi
16652,betawi,bew
1669,urubu-kaapor,urb
16695,malay-tenggarong-kutai,vkt
167552,chitwan-tharu,the
1676,kayapo,txu
16777,malay-kota-bangun-kutai,mqg
16781,maanyan,mhy
16805,lawangan,lbx
16827,banjar,bjn
168775,yandang,ynq
16883,malay-bukit,bvu
16891,malay-ambonese,ms-abs
16900,malay-north-moluccan,max
16906,loloda,loa
169287,nandeva,tpj
169301,tlapaneco-de-tlacoapa,tpl
16954,galela,gbi
16956,fordata,frd
169603,xinulajgsipij,tqt
1699,ticuna,tca
17028,tabaru,tby
17035,sula,szn
17040,sahu,saj
170534,bahasa-melayu-2,zlm
17075,modole,mqo
17110,ternate,tft
171233,uud-danum,otd
171395,kwamba,rwm
171627,oro-wari-2,pav
1720,sanuma,xsu
172218,dayak-ngaju,nij
17224,tetun-dili,tdt
17226,sumbawa,smw
17239,lamaholot,slp
17249,sasak,sas
17269,nage,nxe
17282,manggarai,mqy
17346,sabu,hvn
17365,banggai,bgz
173673,dulangan-manobo,mta
17373,buol,blf
173888,matsigenka,mcb
173946,pougouli,pug
17408,wolio,wlo
17423,tonsea,txs
17424,tomini,txm
17431,tombulu,tom
17432,tonsawang,tnw
17436,tontemboan,tnt
174473,quichua-pastaza,qvz
17462,muna,mnb
17467,mongondow,mog
17471,mandar,mdr
17492,ledo-ija,lew
17501,tolaki,lbw
17509,kaili-daa,kzf
175097,kau-bru,ria
175157,mambilla,mzk
17518,konjo-highland,kjk
175252,yinzebi,nzb
17547,talaud,tld
17556,selayar,sly
175683,dom,rmt
1759,xavante,xav
17601,duri,mvp
176089,arumanian,rup
176097,ndola,ndr
176144,mazagway-hidi,dkx
17616,mamasa,mqj
176243,bangla-2,bn
17626,cia-cia,cia
176313,ao,njo
176424,tsamakko,tsb
17645,bugis,bug
17655,bajau-indonesian,bdl
176708,phom,nph
176838,lokpa,dop
17688,aceh,ace
17689,batak-angkola,akb
176906,cook-islands-maori,rar
17695,minangkabau,min
177210,kachhi-gujerati,gjk
17732,lubu,lcf
17739,kerinci,kvr
17752,komering,kge
17753,malay-jambi,jax
17757,kaur,vkk
17760,serawai,ms-pse-x-Serawai
177626,ichen,ich
17769,rejang,rej
17773,pasemah,ms-pse
17774,palembang,mui
17785,ogan,ms-pse-x-Ogan
17797,mentawai,mwv
178026,pyam,pym
178043,khmer-standard,km
17807,gayo,gay
17813,batak-karo,btx
17814,batak-simalungun,bts
17815,batak-mandailing,btm
17818,batak-toba,bbc
17820,dungan,dng
179189,eastern-garame,acz
179190,western-garame,acz
179212,utukwang,afe
1794,parecis,pab
1795,wayampi-amapari,oym-x-Amapari
1796,wayampi-oiapoque,oym-x-Oiapoque
179655,tiyaa,tyy
180517,southern-gondi-adilabad,wsg
180999,eda,kad
181020,tali-2,kbn
181477,enxet,enx
1816,nambikuara-southern,nab
181696,okpella,atg
181949,vasavi-kolche,vas
1821,munduruku,myu
18259,mongolian-halh,mn
183121,kortha,mai
18321,buriat-russia,bxr
18379,yakut,sah
184451,gaita-koitor,fmu
184452,kwamashi,mho
184455,romani-balkan-romania,rmn
184462,kokoda-k-ainake,hkk
184464,kok-borok-bangladesh,tpe
184467,kuvi-odisha,kxv
184472,cofan,con
184475,parakana,pak
184479,goan-konkani,gom
184480,bai-lama,lay
184483,wampis,hub
184484,kurdish-afrini,kmr
184485,iten,etx
184486,bareli-pawri,bfb
184487,mahasu-pahari,bfz
184489,yao-tanzania,yao
184494,makonde-tanzania,kde
184495,arabic-modern-standard-sharif,ar-arb
184496,kisan,xis
184497,tarifit-arabic-based-script,rif
184498,tarifit-latin-based-script,rif
184499,bado-parja,bdv
18450,bashkir,ba
184500,ilchamus,saq
184501,kechwa-san-martin,qvs
184502,mundu,muh
184504,hlai-has,lic
184505,makhau-tanzania,vmw
184506,hani-haya,hni
184509,sama-mum,ndi
184510,ngonde,nyy
184511,kwangwa,lyn
