language,audioLanguageSlug,displayLocale,eligibleCuratedVideos,catalogVideoIdsUpperBound,reason,coreLanguageId,publishedVariantRows,publishedDistinctVideoIds,collectionOrSeriesVideoIds,publishedLeafVideoIds,leafVideosWithHls,leafVideosWithMux,leafVideosWithHlsOrMux,nonLeafVideosWithHlsOrMux,nonLeafWithoutStream,coreStreamCountAtLeast6,observedAt,pages,evidenceSha256
Hawaiian Ni'Hau,hawaiian-nihau,haw,0,0,Missing published card translation,184517,79,79,16,63,63,63,63,0,16,True,2026-09-10T03:33:24.025251+00:00,1,ac3588f471b61958fb3618b33d0e03d22406124f1176ce55987f09fc1d4d45d1
Hiligaynon,hiligaynon,hil,0,0,Missing published card translation,19738,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:23.832195+00:00,1,9b86d7b013282ed483eea617df92d91ad516073162cd458ba5a16cd7bcf29f38
Hiri Motu,hiri-motu,ho,0,0,Missing published card translation,21120,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:24.031332+00:00,1,652b535fdeb3a072d83f8007a8123af2a62b6aa831e3efed1c35e9f0fb1d87d5
Ho,ho,ho,0,0,Missing published card translation,1189,85,85,15,70,70,70,70,0,15,True,2026-09-10T03:33:24.903826+00:00,1,51852211c8fba813763d142cb4bab4f5f95901bcc6ec83bbaafa9fab1dba8d90
Hungarian,hungarian,hu,0,0,Missing published card translation,1107,292,292,34,258,258,258,258,2,32,True,2026-09-10T03:33:25.650109+00:00,1,ea21e959ab3986e3d4f029498da8f634774f4ab5d7de9c35494a67a895243739
Icelandic,icelandic,is,0,0,Missing published card translation,5563,111,111,20,91,91,91,91,2,18,True,2026-09-10T03:33:25.630101+00:00,1,0acbcdb7f7c1f92d38f1568c7e697fb5a01778f92d5d2c5d2ecfe2e1f46f16bf
Ilocano,ilocano,ilo,0,0,Missing published card translation,12723,120,120,22,98,98,98,98,2,20,True,2026-09-10T03:33:25.502752+00:00,1,8e84705ccce24d09ff803ec022c615c7524b2b680c04272c4221c9768d681059
Ingush,ingush,inh,0,0,Missing published card translation,18555,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:26.117344+00:00,1,a963b8564bd6adfcf2564351ae532dd826557a1376f0c3a62f329254188da297
Italian,italian,it,0,0,Missing published card translation,4415,506,506,58,448,448,448,448,2,56,True,2026-09-10T03:33:29.596523+00:00,2,8cc51891004c3b5bbf798306d2f61c9bed0d1d7ff5aa803be45c0c2fb44765d4
"Ixil, Nebaj",ixil-nebaj,ixl,0,0,Missing published card translation,5420,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:27.797112+00:00,1,24466be2c24fd57fcce7aa8e98a6c7a2fbfb761a05f7ee6ee43f6da67a339d0b
