audioLanguageSlug,coreLanguageId,sourcePublishedLeafVideos,sourcePublishedHlsLeafVideos,sourcePublishedHlsVideosAllLabels,curatedStartUnique,curatedUnionUnique,curatedStartWorkFamilies,curatedStartStoryGroups,curatedStartMedianDubAtMost15m,curatedStartFeatureFilms,startMeets6,startMeets30,unionMeets30,adminValidatedUnique,identityStatus,pool_meaning-and-purpose,pool_hope-and-perseverance,pool_love-and-belonging,pool_forgiveness-and-new-beginnings,pool_exploring-jesus
batak-alas,146378,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
batak-angkola,17689,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
batak-karo,17813,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
batak-kluet,146379,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
batak-mandailing,17815,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
batak-simalungun,17814,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
batak-toba,17818,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bateq,139973,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
batui,143190,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
baule,16107,116,116,116,56,57,2,55,54,2,True,True,True,0,core_only,23,26,20,10,37
bauria,5703,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bawean,153673,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bazigar,5612,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bedamuni,21577,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
beembe,4276,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
behoa,97214,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
beja-bidhaawyeet,184917,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bekwarra,10208,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bekwel,139761,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bel,161859,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
belanda-viri,140001,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
belleh,158085,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
